contact_id,customer_id,first_name,last_name,email,phone,role
1,76,Mark,Gibson,kathleen64@example.com,517-208-0531x003,CTO
2,1,Christine,Allen,kcaldwell@example.org,645.829.9124x190,IT Manager
3,91,Randy,Espinoza,vargasmaria@example.org,749-319-0586,IT Manager
4,30,William,Peterson,gshort@example.com,(672)762-8498x776,IT Manager
5,5,Melissa,Rivas,ramirezshannon@example.com,001-596-750-7527,Procurement
6,10,Lauren,Peterson,angela83@example.org,367.683.7770,Director
7,31,Jeffrey,Holt,elizabeth57@example.net,356.485.5744x43135,Procurement
8,86,James,Rodgers,jenny89@example.com,434-635-2408,CEO
9,28,Brandon,Brown,heidi27@example.org,6949777520,Director
10,17,Danny,Jones,ojones@example.net,8225941318,Director
11,74,Kimberly,James,levans@example.com,399-409-1334x1232,CEO
12,32,Aaron,Hayes,ocarter@example.com,001-447-613-4936x183,CEO
13,53,Margaret,Jones,lauralarson@example.net,271-874-6488x7719,CTO
14,13,Jessica,Munoz,davissuzanne@example.net,001-604-490-2787,IT Manager
15,85,Wendy,Graham,ecosta@example.com,(755)612-5674x68071,CEO
16,46,Marcus,Cordova,ahancock@example.net,+1-976-203-8597,CEO
17,53,James,Dunn,samuel71@example.org,+1-393-424-8086x1317,CEO
18,94,Tyrone,Moran,robert77@example.org,682.263.9821x465,IT Manager
19,87,Justin,Evans,cgrimes@example.net,855.288.6753x3963,IT Manager
20,8,Louis,Kennedy,qhughes@example.net,(370)928-9517,CEO
21,94,Alexis,Thomas,charlesharrington@example.com,696-515-8657x80913,Procurement
22,14,Julie,Hamilton,hodgesjane@example.org,524.800.5045x562,CTO
23,25,Ashlee,Sparks,gregorylynch@example.com,+1-637-492-3747x407,CTO
24,69,Charles,Landry,danielle64@example.com,836-671-3695x9440,CEO
25,18,Alan,Grimes,lozanojulie@example.com,001-739-453-3942x10470,CEO
26,24,Christopher,Phillips,ithompson@example.net,(488)542-4745x171,Procurement
27,60,Michelle,Ramsey,zcoffey@example.net,(716)304-8175x496,CTO
28,10,Emily,Ruiz,rose31@example.net,446.812.0047x113,CEO
29,71,Shawn,Santiago,umatthews@example.org,(717)796-4053x77351,IT Manager
30,7,Bruce,Hill,rushmadison@example.org,+1-539-500-5329x31839,Director
31,2,Mark,Hernandez,ramireztracey@example.org,+1-742-210-2053,IT Manager
32,97,Grant,Williams,vfox@example.org,975.289.1783x9084,CTO
33,22,Bruce,Mendoza,gsimmons@example.com,001-771-815-9212x499,CEO
34,63,Virginia,Schmidt,bwagner@example.org,001-318-736-7365x766,CEO
35,28,Ronald,Ortega,stephanie71@example.org,716-315-2809,CEO
36,8,Robert,Russo,uparrish@example.org,794-351-9832x7315,CTO
37,49,Kathryn,Andrews,xbruce@example.net,+1-480-494-0244x550,IT Manager
38,50,Ashley,Morales,joycebonilla@example.org,001-383-266-7525x4599,Procurement
39,59,Eric,Webster,craigjoseph@example.net,(979)676-4381x56149,Procurement
40,55,Brandon,Foster,smithkevin@example.org,001-724-345-1076x22683,Director
41,85,Randy,Harmon,esmith@example.com,001-769-466-4160,CEO
42,20,Laurie,Montgomery,christopher13@example.com,001-468-316-4535,CTO
43,38,William,Wilson,rebeccabailey@example.net,+1-923-912-4329x2127,CTO
44,8,Erin,Macias,michelle52@example.com,377-644-9058,Director
45,95,Steven,Johnson,marie11@example.net,+1-986-479-8079x359,Director
46,8,Susan,Hayes,toni18@example.net,(703)777-8892,Procurement
47,8,Samantha,Hughes,erika05@example.org,818-464-4925x19254,IT Manager
48,75,Brooke,Hurley,angelica52@example.net,001-981-568-5054x235,CEO
49,65,Jeremy,Taylor,phillipskristin@example.net,001-988-205-9296x22292,Director
50,21,Robert,Rhodes,tarabishop@example.net,838.834.7359x774,IT Manager
51,66,Tammy,Montoya,moniquewilliams@example.com,(881)381-4124x782,IT Manager
