sales_rep_id,first_name,last_name,email,territory_id,hire_date
1,John,Taylor,rhodespatricia@example.org,1,2023-12-09
2,Anthony,Davis,williamjohnson@example.org,1,2024-06-10
3,Jacqueline,Barnes,zlawrence@example.org,3,2024-08-11
4,Erik,Henderson,eric51@example.org,2,2023-02-05
5,Michael,Cooper,lindsay78@example.org,2,2025-06-20
6,Nicholas,Arnold,barbara10@example.net,2,2022-06-27
7,Keith,Miller,michellejames@example.com,1,2024-02-13
8,Michael,Wood,elizabethmiles@example.net,5,2024-03-02
9,Chelsea,Jackson,frankgray@example.net,1,2024-04-30
10,Jeffrey,Nguyen,perezantonio@example.com,5,2023-03-08
